House Description,Location,Selling price
Moon Valley Apartments | Kileleshwa | 1 Bedroom,"Mandera Road, Kileleshwa, Nairobi, Kenya","$69,215.00"
Divine Residences by CityBlue | Riverside Drive | 1 Bedroom,"Riverside Drive, Nairobi, Kenya","$144,781.00"
