Titles,Speed,Rattings,Conectivity,Warranties,Value,Doscount
"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹36,990",32% off
"SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-bu...",2 Years Comprehensive and 10 Years on Motor From Motorola,2 Years Comprehensive and 10 Years on Motor From Motorola,2 Years Comprehensive and 10 Years on Motor From Motorola,2 Years Comprehensive and 10 Years on Motor From Motorola,"₹29,990",45% off
"SAMSUNG 9 kg 5 Star, Eco Bubble Technology, AI Control , Wi-Fi Enabled , Digital Inverter Motor, Hygie...",1400 RPM Max Speed,1400 RPM Max Speed,1400 RPM Max Speed,1400 RPM Max Speed,"₹37,990",25% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹32,990",37% off
BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater White,With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹35,990",28% off
"IFB 6 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, White",With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,"₹21,990",36% off
"SAMSUNG 9 kg 5 Star, Hygiene Steam Fully Automatic Front Load Washing Machine with In-built Heater Bla...","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","₹36,990",30% off
"IFB 9 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, with AI Fully Automatic Front ...",1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,"₹37,990",32% off
"LG 7 kg 5 Star with Steam, Inverter Direct Drive Technology, 6 Motion DD, Touch Panel and 1200 RPM Ful...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹28,990",22% off
Motorola 10.5 kg 5 Star Smart Wi-Fi Enabled Inverter Technology Fully Automatic Front Load with In-bui...,With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹23,990",34% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",2 Years Comprehensive Warranty on Product and 10 Year Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Year Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Year Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Year Warranty on Motor,"₹31,990",58% off
BOSCH 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,1200 RPM Max Speed,1200 RPM Max Speed,1200 RPM Max Speed,1200 RPM Max Speed,"₹34,490",26% off
"LG 7 kg 5 Star with Steam, Inverter Direct Drive Technology, 6 Motion Direct Drive, Touch Panel and 12...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹26,990",33% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹35,990",30% off
"SAMSUNG 12 kg 5star, AI Ecobubble, Super Speed, Wi-Fi, Hygiene Steam,Digital Inverter Fully Automatic ...",2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,"₹43,990",23% off
"IFB 7 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Powered by AI with Wifi Fully ...",1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,"₹28,990",16% off
"LG 8 kg 5 Star with Steam, Inverter Direct Drive, 6 Motion Direct Drive, Touch Panel and 1400 RPM Full...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹34,990",20% off
BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹38,900",28% off
BOSCH 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black,2 Years Comprehensive and 10 Years on Motor From Motorola,2 Years Comprehensive and 10 Years on Motor From Motorola,2 Years Comprehensive and 10 Years on Motor From Motorola,2 Years Comprehensive and 10 Years on Motor From Motorola,"₹35,490",35% off
